mappedPoolId,mappedByUser,mappedByUserId,mappedDateText,mappedDateUnixSeconds,mappedLatitude,mappedLongitude,mappedConfidence,mappedSource,mappedSource2,mappedPhotoNumber,mappedLocationAccuracy,mappedShape,mappedComments,createdAt,updatedAt
MLS1782,Michael Lew-Smith,0,1/31/2011,1296432000,43.57416236,-73.00719718,M,CIR,Remote CIR,4197-158T,H,Point,Pool or wetland above pond,,
MLS1783,Michael Lew-Smith,0,1/31/2011,1296432000,43.54477683,-73.01671279,ML,CIR,Remote CIR,4196-159T,ML,Point,Pool or shadow on slope,,
MLS1784,Michael Lew-Smith,0,1/31/2011,1296432000,43.51547491,-72.95707212,ML,CIR,Remote CIR,4196-160T,MH,Point,Pool or other wetland type,,
MLS1785,Michael Lew-Smith,0,1/31/2011,1296432000,43.50468848,-72.92665078,ML,CIR,Remote CIR,4196-160T,M,Point,Pool or wet trail ?,,
MLS1786,Michael Lew-Smith,0,1/31/2011,1296432000,43.4932693,-73.00997682,MH,CIR,Remote CIR,4196-160T,M,Point,Nice looking pool under mixed forest,,
MLS1787,Michael Lew-Smith,0,1/31/2011,1296432000,43.48521164,-73.00854623,MH,CIR,Remote CIR,4196-161T,MH,Point,Nice looking pool on low summit,,
MLS1788,Michael Lew-Smith,0,1/31/2011,1296432000,43.47438286,-72.93775237,MH,CIR,Remote CIR,4196-161T,MH,Point,Potential pool on summit,,
MLS1789,Michael Lew-Smith,0,1/31/2011,1296432000,43.47813445,-72.92735856,ML,CIR,Remote CIR,4196-161T,M,Point,A string of pool or a string of shadows (or a string of pearls...),,
MLS179,MLS,0,2/13/2009,1234483200,44.53549224,-71.69923916,M,CIR,Remote CIR,4204-87P,H,Point,Potential pool under powerline clearing,,
MLS1790,Michael Lew-Smith,0,1/31/2011,1296432000,43.47023526,-72.96432504,M,CIR,Remote CIR,4196-161T,H,Point,Pool or shadow in mixed forest,,
MLS1791,Michael Lew-Smith,0,1/31/2011,1296432000,43.47671229,-72.92858324,ML,CIR,Remote CIR,4196-162T,ML,Point,Pool or shadow on low ridge,,
MLS1792,Michael Lew-Smith,0,1/31/2011,1296432000,43.43196646,-73.01624457,MH,CIR,Remote CIR,4196-162T,M,Point,Pool or wetland in saddle,,
MLS1793,Michael Lew-Smith,0,2/1/2011,1296518400,43.41811173,-72.94072968,ML,CIR,Remote CIR,4196-163T,ML,Point,Pool or seep somehwere in this hardwood forest,,
MLS1794,Michael Lew-Smith,0,2/1/2011,1296518400,43.41584293,-72.93351491,MH,CIR,Remote CIR,4196-163T,M,Point,Nice looking pool above wetland,,
MLS1795,Michael Lew-Smith,0,2/1/2011,1296518400,43.38324325,-72.9732722,ML,CIR,Remote CIR,4196-164T,MH,Point,Pool or ??  along ridgeline,,
MLS1796,Michael Lew-Smith,0,2/1/2011,1296518400,43.38541634,-72.97138902,MH,CIR,Remote CIR,4196-164T,M,Point,Nice looking pool on ridgeline,,
MLS1797,Michael Lew-Smith,0,2/1/2011,1296518400,43.37829148,-72.97337222,M,CIR,Remote CIR,4196-164T,M,Point,Potential pool on ridgeline,,
MLS1798,Michael Lew-Smith,0,2/1/2011,1296518400,43.37356489,-72.97137637,ML,CIR,Remote CIR,4196-164T,M,Point,"Potential pool on bench, may have drainage to north",,
MLS1799,Michael Lew-Smith,0,2/1/2011,1296518400,43.33965225,-73.01546909,M,CIR,Remote CIR,4196-166T,M,Point,Pool or shadow in mixed forest,,
MLS18,MLS,0,1/16/2009,1232064000,44.64746067,-72.70458967,M,CIR,Remote CIR,4198-85,H,Point,May be part of swamp to the north,,
MLS180,MLS,0,2/13/2009,1234483200,44.5308824,-71.69990278,ML,CIR,Remote CIR,4204-88P,M,Point,"Wet area, but may be too small to be a vernal pool",,
MLS1800,Michael Lew-Smith,0,2/1/2011,1296518400,43.34792411,-73.01946564,ML,CIR,Remote CIR,4196-166T,M,Point,Pool or small wetland in conifers,,
MLS1801,Michael Lew-Smith,0,2/1/2011,1296518400,43.31375914,-72.95251945,ML,CIR,Remote CIR,4196-167T,M,Point,Pool or small wetland in mixed forest,,
MLS1802,Michael Lew-Smith,0,2/1/2011,1296518400,43.30570418,-72.96275465,ML,CIR,Remote CIR,4196-167T,M,Point,Pool or shadow in mixed forest,,
MLS1803,Michael Lew-Smith,0,2/1/2011,1296518400,43.28112498,-72.99608446,H,CIR,Remote CIR,4198-167T,Pool,Point, ,,
MLS1804,Michael Lew-Smith,0,2/1/2011,1296518400,43.28636177,-72.99178808,M,CIR,Remote CIR,4196-167T,M,Point,Pool or shadow in mixed forest,,
MLS1805,Michael Lew-Smith,0,2/1/2011,1296518400,43.27141712,-73.00141176,M,CIR,Remote CIR,4196-168T,MH,Point,Nice looking pool,,
MLS1806,Michael Lew-Smith,0,2/1/2011,1296518400,43.26993771,-72.97052911,M,CIR,Remote CIR,4196-167T,ML,Point,Potential pool somewhere in this area,,
MLS1807,Michael Lew-Smith,0,2/1/2011,1296518400,43.27102846,-72.96916817,M,CIR,Remote CIR,4196-167T,M,Point,Pool or shadow on summit in mixed forest,,
MLS1809,Michael Lew-Smith,0,2/1/2011,1296518400,43.26913998,-72.96917295,M,CIR,Remote CIR,4196-167T,M,Point,Pool or shadow in mixed forest on summit,,
MLS181,MLS,0,2/13/2009,1234483200,44.94555886,-71.70992735,M,CIR,Remote CIR,4204-113P,MH,Point,Potential pool on bench above Little Averill,,
MLS1810,Michael Lew-Smith,0,2/1/2011,1296518400,43.248269,-72.95574929,M,CIR,Remote CIR,4197-169T,M,Point,Pool or seep,,
MLS1811,Michael Lew-Smith,0,2/1/2011,1296518400,43.24214465,-72.96830241,ML,CIR,Remote CIR,4197-169T,MH,Point,Pool or part of nearby wetland,,
MLS1812,Michael Lew-Smith,0,2/1/2011,1296518400,43.22177665,-72.97380261,L,CIR,Remote CIR,4196-169T,M,Point,Pool or shadow on summit,,
MLS1813,Michael Lew-Smith,0,2/1/2011,1296518400,43.17013431,-72.99282754,MH,CIR,Remote CIR,4196-171T,H,Point,Large pool or small wetland on summit,,
MLS1814,Michael Lew-Smith,0,2/1/2011,1296518400,43.17264121,-72.96976022,ML,CIR,Remote CIR,4196-171T,M,Point,Pool or shadow in hardwood forest,,
MLS1815,Michael Lew-Smith,0,2/1/2011,1296518400,43.16442077,-72.94750481,M,CIR,Remote CIR,4196-171T,H,Point,Pool or small conifer wetland,,
MLS1816,Michael Lew-Smith,0,2/1/2011,1296518400,43.1643658,-72.94879943,M,CIR,Remote CIR,4196-171T,H,Point,Pool or small conifer wetland,,
MLS1817,Michael Lew-Smith,0,2/1/2011,1296518400,43.15908384,-72.94332216,ML,CIR,Remote CIR,4196-171T,M,Point,Pool or seep ?,,
MLS1818,Michael Lew-Smith,0,2/1/2011,1296518400,43.1443774,-72.96552757,H,CIR,Remote CIR,4196-172T,H,Point,Nice looking pool on low summit,,
MLS1819,Michael Lew-Smith,0,2/1/2011,1296518400,43.14244514,-72.96613824,H,CIR,Remote CIR,4196-172T,H,Point,Nice looking pool on low summit,,
MLS182,MLS,0,2/13/2009,1234483200,44.84237348,-71.74640747,ML,CIR,Remote CIR,4204-109P,M,Point,The northern one in a series of roadside wet areas which may be vp habitat,,
MLS1820,Michael Lew-Smith,0,2/1/2011,1296518400,43.14334713,-72.96551976,MH,CIR,Remote CIR,4196-172T,H,Point,Nice looking pool on low summit,,
MLS1821,Michael Lew-Smith,0,2/1/2011,1296518400,43.14374233,-72.96485275,MH,CIR,Remote CIR,4196-172T,H,Point,Looks smaller than other pools in this cluster,,
MLS1822,Michael Lew-Smith,0,2/1/2011,1296518400,43.14301788,-72.96605326,MH,CIR,Remote CIR,4196-172T,H,Point,Pool in mixed forest,,
MLS1823,Michael Lew-Smith,0,2/1/2011,1296518400,43.14818381,-72.96249653,H,CIR,Remote CIR,4196-172T,MH,Point,One of three nice looking pools in cluster,,
MLS1824,Michael Lew-Smith,0,2/1/2011,1296518400,43.14795342,-72.96285216,H,CIR,Remote CIR,4196-172T,MH,Point,One of three nice looking pools in cluster,,
MLS1825,Michael Lew-Smith,0,2/1/2011,1296518400,43.14831238,-72.96305589,H,CIR,Remote CIR,4196-172T,M,Point,One of three nice looking pools in cluster,,
MLS1826,Michael Lew-Smith,0,2/1/2011,1296518400,43.14410659,-72.95560933,M,CIR,Remote CIR,4196-172T,M,Point,"Very small potential pool, maybe shadow ??",,
MLS1827,Michael Lew-Smith,0,2/1/2011,1296518400,43.14155468,-72.95165981,M,CIR,Remote CIR,4196-172T,M,Point,Larger pool in this pair,,
MLS1828,Michael Lew-Smith,0,2/1/2011,1296518400,43.14178433,-72.95148284,M,CIR,Remote CIR,4196-172T,M,Point,Smaller potential pool of this pair,,
MLS1829,Michael Lew-Smith,0,2/1/2011,1296518400,43.14204246,-72.95237805,M,CIR,Remote CIR,4196-172T,ML,Point,"Looks like sloped site, but could be a vernal pool",,
MLS183,MLS,0,2/13/2009,1234483200,44.84115917,-71.7451099,ML,CIR,Remote CIR,4204-109P,M,Point,The middle one in a series of roadside wet areas which may be vp habitat,,
MLS1830,Michael Lew-Smith,0,2/1/2011,1296518400,43.14136872,-72.94904551,M,CIR,Remote CIR,4196-172T,MH,Point,"Potential pool in mixed forest,",,
MLS1831,Michael Lew-Smith,0,2/1/2011,1296518400,43.12801592,-72.92106535,H,CIR,Remote CIR,4196-172T,MH,Point,"May be multiple pools here, or may be all connected ?",,
MLS1832,Michael Lew-Smith,0,2/1/2011,1296518400,43.12622,-72.9192936,M,CIR,Remote CIR,4196-172T,H,Point,Pool or shadow on low summit,,
MLS1833,Michael Lew-Smith,0,2/1/2011,1296518400,43.13032074,-72.93987512,M,CIR,Remote CIR,4196-172T,H,Point,Very small potential site,,
MLS1834,Michael Lew-Smith,0,2/1/2011,1296518400,43.12449784,-72.95867282,MH,CIR,Remote CIR,4196-172T,MH,Point,Nice looking pool above wetlands,,
MLS1835,Michael Lew-Smith,0,2/1/2011,1296518400,43.13098211,-72.97166255,M,CIR,Remote CIR,4196-172T,M,Point,Small potential pool on suspiciously narrow bench,,
MLS1836,Michael Lew-Smith,0,2/1/2011,1296518400,43.1301737,-72.97182176,ML,CIR,Remote CIR,4196-172T,M,Point,Pool or seep on narrow bench,,
MLS1837,Michael Lew-Smith,0,1/3/2011,1294012800,43.12813517,-72.92202056,M,CIR,Remote CIR,4196-173T,ML,Point,"Pool or seep, may be sloped ?",,
MLS1838,Michael Lew-Smith,0,1/31/2011,1296432000,43.12439015,-72.96001351,ML,CIR,Remote CIR,4196-173T,H,Point,Pool or shadow under conifers,,
MLS1839,Michael Lew-Smith,0,1/31/2011,1296432000,43.1168234,-72.99033839,M,CIR,Remote CIR,4196-173T,MH,Point,Pool or small wetland near swamp,,
MLS1840,Michael Lew-Smith,0,1/31/2011,1296432000,43.10712478,-72.96214559,MH,CIR,Remote CIR,4196-173T,H,Point,Nice looking pool,,
MLS1841,Michael Lew-Smith,0,1/31/2011,1296432000,43.09930337,-72.96402854,M,CIR,Remote CIR,4196-173T,MH,Point,Potential pool in mixed forest,,
MLS1842,Michael Lew-Smith,0,1/31/2011,1296432000,43.07979232,-72.95562131,M,CIR,Remote CIR,4196-174T,H,Point,Pool or seep,,
MLS1843,Michael Lew-Smith,0,1/31/2011,1296432000,43.06550029,-72.96293863,M,CIR,Remote CIR,4196-174T,MH,Point,Pool or shadow,,
MLS1844,Michael Lew-Smith,0,1/31/2011,1296432000,43.07431894,-72.94436883,ML,CIR,Remote CIR,4196-174T,M,Point,Pool or shadow in mixed forest,,
MLS1845,Michael Lew-Smith,0,1/31/2011,1296432000,43.06351012,-72.93501647,M,CIR,Remote CIR,4196-174T,M,Point,"Potential pool in hardwood forest, may be seep ?",,
MLS1846,Michael Lew-Smith,0,1/31/2011,1296432000,43.03521112,-72.9319373,M,CIR,Remote CIR,4196-174T,H,Point,Pool or small wetland,,
MLS1847,Michael Lew-Smith,0,1/31/2011,1296432000,43.02569551,-72.9421336,M,CIR,Remote CIR,4196-175T,ML,Point,Potential pool somewhere in this area,,
MLS1848,Michael Lew-Smith,0,1/31/2011,1296432000,43.0113442,-72.93466505,H,CIR,Remote CIR,4196-176T,MH,Point,Nice looking pool,,
MLS1849,Michael Lew-Smith,0,1/31/2011,1296432000,43.01320947,-72.93394497,H,CIR,Remote CIR,4196-176T,MH,Point,Largest pool in this cluster,,
MLS185,MLS,0,2/13/2009,1234483200,44.83572871,-71.6906048,M,CIR,Remote CIR,4204-109P,M,Point,Looks wet mut may be other wetland type,,
MLS1850,Michael Lew-Smith,0,1/31/2011,1296432000,43.01331107,-72.93443921,MH,CIR,Remote CIR,4196-176T,MH,Point,Small pool in cluster,,
MLS1851,Michael Lew-Smith,0,1/31/2011,1296432000,43.01570555,-72.933328,H,CIR,Remote CIR,4196-176T,H,Point,Nice looking pool in cluster,,
MLS1852,Michael Lew-Smith,0,1/31/2011,1296432000,43.01730202,-72.92160559,M,CIR,Remote CIR,4196-176T,MH,Point,Pool or shadow north of reservoir,,
MLS1853,Michael Lew-Smith,0,1/31/2011,1296432000,42.98479016,-72.96839086,M,CIR,Remote CIR,4196-177T,MH,Point,Pool or shadow above wetland,,
MLS1854,Michael Lew-Smith,0,1/31/2011,1296432000,42.98574519,-72.95819406,MH,CIR,Remote CIR,4196-177T,H,Point,Largest pool in this nice cluster,,
MLS1855,Michael Lew-Smith,0,1/31/2011,1296432000,42.98605561,-72.9591957,MH,CIR,Remote CIR,4196-177T,H,Point,Nice looking pool in cluster,,
MLS1856,Michael Lew-Smith,0,1/31/2011,1296432000,42.9861219,-72.96008846,MH,CIR,Remote CIR,4196-177T,H,Point,Nice looking pool in cluster,,
MLS1857,Michael Lew-Smith,0,1/31/2011,1296432000,42.9922159,-72.9566714,MH,CIR,Remote CIR,4196-177T,H,Point,"Very large, nice looking pool",,
MLS1858,Michael Lew-Smith,0,1/31/2011,1296432000,42.99430068,-72.95886496,M,CIR,Remote CIR,4196-177T,M,Point,Small potential pool in mixed forest,,
MLS1859,Michael Lew-Smith,0,1/31/2011,1296432000,42.97133797,-72.93719512,M,CIR,Remote CIR,4196-177T,M,Point,Pool or seep in hardwood forest,,
MLS186,MLS,0,2/13/2009,1234483200,44.8355358,-71.74055927,M,CIR,Remote CIR,4204-109P,H,Point,Small pool along old logging road above wetland and stream,,
MLS1860,Michael Lew-Smith,0,1/31/2011,1296432000,42.9721869,-72.94423561,M,CIR,Remote CIR,4196-177T,M,Point,Pool or seep above reservoir,,
MLS1862,Michael Lew-Smith,0,1/31/2011,1296432000,42.96424792,-72.98561749,M,CIR,Remote CIR,4196-178T,H,Point,"Long thin signature, pool or shadow in ravine ?",,
MLS1863,Michael Lew-Smith,0,1/31/2011,1296432000,42.96333828,-72.98631792,ML,CIR,Remote CIR,4196-178T,MH,Point,Seep or pool in mixed forest,,
MLS1864,Michael Lew-Smith,0,1/31/2011,1296432000,42.96336282,-72.98574603,M,CIR,Remote CIR,4196-178T,MH,Point,"Pool or seep, looks a little wetter than site to west",,
MLS1865,Michael Lew-Smith,0,1/31/2011,1296432000,42.94856608,-72.99465927,MH,CIR,Remote CIR,4196-178T,MH,Point,"Small, but nice looking pool above stream",,
MLS1866,Michael Lew-Smith,0,1/31/2011,1296432000,42.952953,-72.95292069,M,CIR,Remote CIR,4196-178T,H,Point,Large pool or seep in hardwood forest,,
MLS1867,Michael Lew-Smith,0,1/31/2011,1296432000,42.94097514,-72.99027752,M,CIR,Remote CIR,4196-178T,M,Point,Very small potential pool,,
MLS1868,Michael Lew-Smith,0,1/31/2011,1296432000,42.93954971,-72.98992093,ML,CIR,Remote CIR,4196-178T,M,Point,Pool or shadow ?,,
MLS1869,Michael Lew-Smith,0,1/31/2011,1296432000,42.91647525,-72.95054021,M,CIR,Remote CIR,4196-179T,M,Point,Potential pool on nose of slope,,
MLS187,MLS,0,2/13/2009,1234483200,44.81699269,-71.74708262,ML,CIR,Remote CIR,4204-109P,MH,Point,Can't tell if this is a pool or a shadow,,
MLS1870,Michael Lew-Smith,0,1/31/2011,1296432000,42.89922968,-72.98861994,ML,CIR,Remote CIR,4196-180T,M,Point,Pool or shadow,,
MLS1871,Michael Lew-Smith,0,1/31/2011,1296432000,42.89737007,-72.95393151,M,CIR,Remote CIR,4196-180T,MH,Point,"Wet area in floodplain of Deerfield, looks like good VP habitat",,
MLS1872,Michael Lew-Smith,0,1/31/2011,1296432000,42.89155491,-72.95683676,ML,CIR,Remote CIR,4196-180T,MH,Point,Pool or seep on narrow bench,,
MLS1873,Michael Lew-Smith,0,1/31/2011,1296432000,42.89820264,-72.94811,M,CIR,Remote CIR,4196-180T,H,Point,Large pool or small swamp,,
MLS1874,Michael Lew-Smith,0,1/31/2011,1296432000,42.89813811,-72.94842519,M,CIR,Remote CIR,4196-180T,H,Point,Large pool or small swamp,,
MLS1875,Michael Lew-Smith,0,1/31/2011,1296432000,42.8827717,-72.92291516,M,CIR,Remote CIR,4196-180T,M,Point,Potential pool on summit,,
MLS1876,Michael Lew-Smith,0,2/8/2011,1297123200,42.83229643,-72.94975253,M,CIR,Remote CIR,4203-41P,M,Point,Potential pool on bench,,
MLS1877,Michael Lew-Smith,0,2/8/2011,1297123200,42.82717858,-72.97411391,M,CIR,Remote CIR,4203-41P,M,Point,Potential pool near summit,,
MLS1878,Michael Lew-Smith,0,2/8/2011,1297123200,42.82518375,-72.97641536,ML,CIR,Remote CIR,4203-41P,ML,Point,"Potential pool below summit, may be shadow",,
MLS1879,Michael Lew-Smith,0,2/8/2011,1297123200,42.82529639,-72.96448693,M,CIR,Remote CIR,4203-41P,MH,Point,Pool or shadow above small stream,,
MLS188,MLS,0,2/13/2009,1234483200,44.76276202,-71.7691537,M,CIR,Remote CIR,4204-107P,MH,Point,Seepage or pools on this slope,,
MLS1880,Michael Lew-Smith,0,2/8/2011,1297123200,42.82039328,-72.96222015,M,CIR,Remote CIR,4203-41P,MH,Point,Small potential pool on summit,,
MLS1881,Michael Lew-Smith,0,2/8/2011,1297123200,42.80486756,-72.97828811,M,CIR,Remote CIR,4203-41P,ML,Point,Potential pool somewhere in this area !,,
MLS1882,Michael Lew-Smith,0,2/8/2011,1297123200,42.81010298,-72.95366235,ML,CIR,Remote CIR,4203-42P,M,Point,Pool or seep,,
MLS1883,Michael Lew-Smith,0,2/8/2011,1297123200,42.8034027,-72.99227969,M,CIR,Remote CIR,4203-42P,M,Point,Pool or wet area part of swamp ?,,
MLS1884,Michael Lew-Smith,0,2/8/2011,1297123200,42.80380296,-72.99102112,ML,CIR,Remote CIR,4203-42P,M,Point,Pool or seep ?,,
MLS1885,Michael Lew-Smith,0,2/8/2011,1297123200,42.79595562,-72.95851252,M,CIR,Remote CIR,4203-42P,M,Point,Potential pool on bench in mixed forest,,
MLS1886,Michael Lew-Smith,0,2/8/2011,1297123200,42.78997649,-72.91894697,MH,CIR,Remote CIR,4203-42P,MH,Point,Nice looking pool above river,,
MLS1887,Michael Lew-Smith,0,2/8/2011,1297123200,42.78963993,-72.92362734,MH,CIR,Remote CIR,4203-42P,MH,Point,Potential pool above river,,
MLS1888,Michael Lew-Smith,0,2/8/2011,1297123200,42.78517848,-73.00210436,M,CIR,Remote CIR,4203-42P,M,Point,Potential pool in mixed forest,,
MLS1889,Michael Lew-Smith,0,2/8/2011,1297123200,42.78443802,-73.00075379,M,CIR,Remote CIR,4203-42P,M,Point,Pool or shadow in mixed forest,,
MLS189,MLS,0,2/13/2009,1234483200,44.72306989,-71.72783479,H,CIR,Remote CIR,4204-106P,H,Point,Nice looking pool mean powerline,,
MLS1890,Michael Lew-Smith,0,2/8/2011,1297123200,42.75278347,-72.96783392,ML,CIR,Remote CIR,4203-43P,ML,Point,Potential pool or shadow on narrow bench,,
MLS1891,Michael Lew-Smith,0,2/8/2011,1297123200,42.7499935,-72.98851147,M,CIR,Remote CIR,4203-43P,M,Point,Potential pool in hardwood forest,,
MLS1892,Michael Lew-Smith,0,2/8/2011,1297123200,43.81379737,-72.90745546,ML,CIR,Remote CIR,4196-133T,ML,Point,"Pool or shadow on summit, may be multiple sites in this area",,
MLS1893,Michael Lew-Smith,0,2/8/2011,1297123200,43.77609102,-72.87395927,M,CIR,Remote CIR,4196-112T,MH,Point,Pool or shadow on wide bench,,
MLS1894,Michael Lew-Smith,0,2/8/2011,1297123200,43.76224718,-72.91326408,ML,CIR,Remote CIR,4196-111T,MH,Point,Likely a seep but worth a look,,
MLS1895,Michael Lew-Smith,0,2/8/2011,1297123200,43.75842195,-72.88397377,ML,CIR,Remote CIR,4196-111T,M,Point,Pool or shadow in saddle,,
MLS1896,Michael Lew-Smith,0,2/8/2011,1297123200,43.73640474,-72.91059342,M,CIR,Remote CIR,4196-110T,H,Point,Pool or shadow under conifers,,
MLS1897,Michael Lew-Smith,0,2/8/2011,1297123200,43.73725069,-72.9118279,M,CIR,Remote CIR,4196-110T,H,Point,Pool or shadow under conifers,,
MLS1898,Michael Lew-Smith,0,2/8/2011,1297123200,43.738294,-72.9116675,M,CIR,Remote CIR,4196-110T,MH,Point,Pool or shadow under conifers,,
MLS1899,Michael Lew-Smith,0,2/8/2011,1297123200,43.72280549,-72.92765322,M,CIR,Remote CIR,4196-110T,M,Point,"Slight wet signature on bench, seep or pool",,
MLS190,MLS,0,2/13/2009,1234483200,44.70927376,-71.67317585,L,CIR,Remote CIR,4204-105P,MH,Point,"Along logging road, looks only marginally wet",,
MLS1900,Michael Lew-Smith,0,2/8/2011,1297123200,43.67924056,-72.92054968,M,CIR,Remote CIR,4196-109T,MH,Point,Pool or seep,,
MLS1901,Michael Lew-Smith,0,2/8/2011,1297123200,43.66115686,-72.87638903,ML,CIR,Remote CIR,4196-109T,M,Point,Potential pool in mixed forest,,
MLS1902,Michael Lew-Smith,0,2/8/2011,1297123200,43.63094521,-72.86566076,M,CIR,Remote CIR,4196-109T,H,Point,Potential pool on bench,,
MLS1903,Michael Lew-Smith,0,2/8/2011,1297123200,43.62957558,-72.86656912,M,CIR,Remote CIR,4196-109T,H,Point,Pool or seep,,
MLS1904,Michael Lew-Smith,0,2/8/2011,1297123200,43.6234099,-72.89805748,ML,CIR,Remote CIR,4196-107T,MH,Point,Pool or seep on bench,,
MLS1905,Michael Lew-Smith,0,2/8/2011,1297123200,43.61833716,-72.91307653,MH,CIR,Remote CIR,4196-107T,MH,Point,Nice looking pool at base of slope,,
MLS1906,Michael Lew-Smith,0,2/8/2011,1297123200,43.62459208,-72.91363733,M,CIR,Remote CIR,4196-107T,H,Point,Pool or small swamp,,
MLS1907,Michael Lew-Smith,0,2/8/2011,1297123200,43.62489338,-72.91460978,M,CIR,Remote CIR,4196-107T,H,Point,Pool or smal swamp,,
MLS1908,Michael Lew-Smith,0,2/8/2011,1297123200,43.62377562,-72.91287118,M,CIR,Remote CIR,4196-107T,H,Point,Pool or small swamp,,
MLS1909,Michael Lew-Smith,0,2/8/2011,1297123200,43.62768937,-72.86724322,M,CIR,Remote CIR,4196-106T,MH,Point,Pool or seep,,
MLS191,MLS,0,2/13/2009,1234483200,44.68647477,-71.74379857,M,CIR,Remote CIR,4204-104P,H,Point,"Open water, though may be headwaters of swamp to SW",,
MLS1910,Michael Lew-Smith,0,2/8/2011,1297123200,43.6218286,-72.90255741,ML,CIR,Remote CIR,4196-107T,MH,Point,Pool or seep in saddle,,
MLS1911,Michael Lew-Smith,0,2/8/2011,1297123200,43.60805058,-72.91284496,ML,CIR,Remote CIR,4196-106T,M,Point,Faint wet signature on knoll,,
MLS1912,Michael Lew-Smith,0,2/8/2011,1297123200,43.60558543,-72.91396847,M,CIR,Remote CIR,4196-106T,MH,Point,Potential pool on nose of slope,,
MLS1913,Michael Lew-Smith,0,2/8/2011,1297123200,43.60538068,-72.91619243,M,CIR,Remote CIR,4196-106T,MH,Point,Pool or seep,,
MLS1914,Michael Lew-Smith,0,2/8/2011,1297123200,43.60313948,-72.91628357,M,CIR,Remote CIR,4196-106T,MH,Point,Pool or seep,,
MLS1915,Michael Lew-Smith,0,2/8/2011,1297123200,43.61300374,-72.86884031,M,CIR,Remote CIR,4196-106T,H,Point,Pool or small conifer swamp,,
MLS1916,Michael Lew-Smith,0,2/8/2011,1297123200,43.58416531,-72.91946248,MH,CIR,Remote CIR,4196-106T,MH,Point,Small but nice looking pool on summit,,
MLS1917,Michael Lew-Smith,0,2/8/2011,1297123200,43.58182316,-72.92188772,M,CIR,Remote CIR,4196-106T,H,Point,Pool or small swamp ?,,
MLS1918,Michael Lew-Smith,0,2/8/2011,1297123200,43.59604204,-72.87350752,M,CIR,Remote CIR,4196-105T,H,Point,"Pool or seep, faint photosignature of water",,
MLS1919,Michael Lew-Smith,0,2/8/2011,1297123200,43.58100112,-72.92744225,M,CIR,Remote CIR,4196-105T,M,Point,"Very small potential site on summit, drains to northeast",,
MLS192,MLS,0,2/13/2009,1234483200,44.68693565,-71.74469021,M,CIR,Remote CIR,4204-104P,H,Point,Can't tell if this is a VP or open water in small conifer swamp,,
MLS1920,Michael Lew-Smith,0,2/8/2011,1297123200,43.57980479,-72.92807563,M,CIR,Remote CIR,4196-105T,M,Point,Very small potential pool,,
MLS1921,Michael Lew-Smith,0,2/8/2011,1297123200,43.54275176,-72.90698086,H,CIR,Remote CIR,4196-105T,H,Point,Nice looking pool on summit,,
MLS1922,Michael Lew-Smith,0,2/10/2011,1297296000,43.52628369,-72.87432682,ML,CIR,Remote CIR,4196-103T,M,Point,Very small potential site,,
MLS1923,Michael Lew-Smith,0,2/10/2011,1297296000,43.50681319,-72.88729142,M,CIR,Remote CIR,4196-103T,H,Point,Pool or narrow drainage,,
MLS1924,Michael Lew-Smith,0,2/10/2011,1297296000,43.49906186,-72.9101881,M,CIR,Remote CIR,4196-130T,MH,Point,May have drainage to northeast,,
MLS1925,Michael Lew-Smith,0,2/10/2011,1297296000,43.49809182,-72.90973662,M,CIR,Remote CIR,4196-103T,MH,Point,Pool or shadow ?,,
MLS1926,Michael Lew-Smith,0,2/10/2011,1297296000,43.49761196,-72.91072789,M,CIR,Remote CIR,4196-103T,MH,Point,Pool or shadow ?,,
MLS1927,Michael Lew-Smith,0,2/10/2011,1297296000,43.49501405,-72.91262071,M,CIR,Remote CIR,4196-103T,H,Point,"Nice looking pool, though drains to southwest",,
MLS1928,Michael Lew-Smith,0,2/10/2011,1297296000,43.49103848,-72.91612641,M,CIR,Remote CIR,4196-103T,H,Point,"Vernal pool or other wetland type, fairly large",,
MLS1929,Michael Lew-Smith,0,2/10/2011,1297296000,43.50637793,-72.92581191,M,CIR,Remote CIR,4196-103T,MH,Point,Fairly small potential site on bench,,
MLS193,MLS,0,2/13/2009,1234483200,44.65242717,-71.73986122,M,CIR,Remote CIR,4204-103P,M,Point,"Small potential pool in clearcut from early 1990's, may be another 100m due north",,
MLS1930,Michael Lew-Smith,0,2/10/2011,1297296000,43.49468722,-72.92586309,ML,CIR,Remote CIR,4196-103T,M,Point,Pool or wet area in old clearcut,,
MLS1931,Michael Lew-Smith,0,2/10/2011,1297296000,43.48467561,-72.93391477,M,CIR,Remote CIR,4196-103T,MH,Point,Very small potential site on narrow bench,,
MLS1932,Michael Lew-Smith,0,2/10/2011,1297296000,43.48543508,-72.88857851,MH,CIR,Remote CIR,4196-103T,MH,Point,Square ? shaped pool on spur of Granite Hill,,
MLS1933,Michael Lew-Smith,0,2/10/2011,1297296000,43.40125436,-72.91423903,M,CIR,Remote CIR,4196-100T,MH,Point,Potential pool in hardwood forest,,
MLS1934,Michael Lew-Smith,0,2/10/2011,1297296000,43.38756261,-72.94449249,ML,CIR,Remote CIR,4196-100T,H,Point,Pool or small swamp,,
MLS1935,Michael Lew-Smith,0,2/10/2011,1297296000,43.39224743,-72.92180089,ML,CIR,Remote CIR,4196-100T,M,Point,Very small potential site,,
